WELL,MEASUREMENT,ROW_LETTER,ROW_NUMBER,COLUMN_NUMBER,LABEL,KEY,LYSATE,MASTER_MIX,CONCENTRATION,DILUTION,EXP_ID,PLATE_ID,PLATE_READER,REACTION_VOLUME,PLATE_TYPE,PLASMID_MID,TEMPLATE,STANDARD_CURVE_LOT,GAIN,TEST_CONDITION,OPERATOR,VESSEL,PRODUCT,CALCULATED_CONCENTRATION,FINAL_CONCENTRATION_WITH_DILUTION
A16,306.0,A,1,16,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.20197393636784200,2480.78957454713650
A17,10.0,A,1,17,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.10349279024188451,
A18,109.0,A,1,18,executional error,384_control,12-L,MMA_7,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,control,2.14318749789887700,857.27499915955080
A19,98.0,A,1,19,executional error,384_control,12-L,MMA_7,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,control,1.91655475260365550,766.62190104146230
A20,7.0,A,1,20,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.04168385970682412,
A21,213.0,A,1,21,,spike-in,spike-in,spike-in,,100.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,spike-in,,4.28589708978097000,428.58970897809695
A22,8.0,A,1,22,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.06228683655184425,
A23,36.0,A,1,23,,Standard - 1,,,1.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 1,,0.63917018821240780,
A24,34.0,A,1,24,,Standard - 1,,,1.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 1,,0.59796423452236750,
B1,220.0,B,2,1,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.43011792769611100,1772.04717107844450
B2,319.0,B,2,2,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.46981263535310400,2587.92505414124160
B3,215.0,B,2,3,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.32710304347101000,1730.84121738840400
B4,265.0,B,2,4,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,5.35725188572201600,2142.90075428880660
B5,232.0,B,2,5,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.67735364983635200,1870.94145993454070
B6,238.0,B,2,6,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.80097151090647300,1920.38860436258940
B7,228.0,B,2,7,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.59494174245627200,1837.97669698250890
B8,246.0,B,2,8,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.96579532566663400,1986.31813026665370
B9,248.0,B,2,9,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,5.00700127935667450,2002.80051174266990
B10,235.0,B,2,10,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.73916258037141300,1895.66503214856500
B11,233.0,B,2,11,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.69795662668137200,1879.18265067254880
B12,233.0,B,2,12,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.69795662668137200,1879.18265067254880
B13,222.0,B,2,13,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.47132388138615100,1788.52955255446020
B14,236.0,B,2,14,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.75976555721643300,1903.90622288657320
B15,251.0,B,2,15,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,5.06881020989173500,2027.52408395669400
B16,234.0,B,2,16,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.71855960352639200,1887.42384141055690
B17,9.0,B,2,17,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
B18,7.0,B,2,18,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.04168385970682412,
B19,9.0,B,2,19,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
B20,8.0,B,2,20,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.06228683655184425,
B21,56.0,B,2,21,,spike-in,spike-in,spike-in,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,spike-in,,1.05122972511281020,420.49189004512410
B22,6.0,B,2,22,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.02108088286180400,
B23,37.0,B,2,23,,Standard - 1,,,1.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 1,,0.65977316505742790,
B24,10.0,B,2,24,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.10349279024188451,
C1,392.0,C,3,1,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,7.97382994503957200,3189.53197801582900
C2,418.0,C,3,2,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,8.50950734301009600,3403.80293720403820
C3,311.0,C,3,3,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.30498882059294200,2521.99552823717660
C4,322.0,C,3,4,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.53162156588816300,2612.64862635526500
C5,338.0,C,3,5,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.86126919540848600,2744.50767816339430
C6,318.0,C,3,6,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.44920965850808300,2579.68386340323330
C7,349.0,C,3,7,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,7.08790194070370700,2835.16077628148300
C8,313.0,C,3,8,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.34619477428298200,2538.47790971319270
C9,352.0,C,3,9,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,7.14971087123876700,2859.88434849550700
C10,340.0,C,3,10,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.90247514909852500,2760.99005963941000
C11,338.0,C,3,11,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.86126919540848600,2744.50767816339430
C12,320.0,C,3,12,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.49041561219812400,2596.16624487924950
C13,345.0,C,3,13,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,7.00549003332362650,2802.19601332945060
C14,330.0,C,3,14,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.69644538064832400,2678.57815225932970
C15,323.0,C,3,15,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,6.55222454273318360,2620.88981709327350
C16,231.0,C,3,16,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,5.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,4.65675067299133300,1862.70026919653300
C17,9.0,C,3,17,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
C18,109.0,C,3,18,executional error,384_control,12-L,MMA_7,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,control,2.14318749789887700,857.27499915955080
C19,108.0,C,3,19,executional error,384_control,12-L,MMA_7,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,control,2.12258452105385680,849.03380842154270
C20,9.0,C,3,20,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
C21,237.0,C,3,21,,spike-in,spike-in,spike-in,,100.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,spike-in,,4.78036853406145300,478.03685340614530
C22,8.0,C,3,22,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.06228683655184425,
C23,95.0,C,3,23,,Standard - 2,,,2.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 2,,1.85474582206859500,
C24,86.0,C,3,24,,Standard - 2,,,2.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 2,,1.66931903046341400,
D1,75.0,D,4,1,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.44268628516819280,577.07451406727700
D2,120.0,D,4,2,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.36982024319409850,947.92809727763940
D3,82.0,D,4,3,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.58690712308333360,634.76284923333340
D4,112.0,D,4,4,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.20499642843393700,881.99857137357490
D5,86.0,D,4,5,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.66931903046341400,667.72761218536560
D6,139.0,D,4,6,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.76127680324948080,1104.51072129979230
D7,79.0,D,4,7,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.52509819254827320,610.03927701930920
D8,125.0,D,4,8,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.47283512741919900,989.13405096767960
D9,51.0,D,4,9,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,0.94821484088770960,379.28593635508383
D10,128.0,D,4,10,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.53464405795425930,1013.85762318170370
D11,87.0,D,4,11,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.68992200730843420,675.96880292337370
D12,129.0,D,4,12,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.55524703479927950,1022.09881391971180
D13,91.0,D,4,13,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.77233391468851460,708.93356587540590
D14,128.0,D,4,14,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.53464405795425930,1013.85762318170370
D15,101.0,D,4,15,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,1.97836368313871570,791.34547325548620
D16,136.0,D,4,16,,384_Premium,17-L,MMC_17,,400.0,E191,1,TIKTAALIK,20.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Premium,2.69946787271442000,1079.78714908576800
D17,7.0,D,4,17,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.04168385970682412,
D18,8.0,D,4,18,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.06228683655184425,
D19,5.0,D,4,19,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.00047790601678388,
D20,8.0,D,4,20,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.06228683655184425,
D21,53.0,D,4,21,,spike-in,spike-in,spike-in,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,spike-in,,0.98942079457774980,395.76831783109990
D22,9.0,D,4,22,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
D23,93.0,D,4,23,,Standard - 2,,,2.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 2,,1.81353986837855490,
D24,9.0,D,4,24,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
E1,252.0,E,5,1,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.08941318673675450,2035.76527469470170
E2,282.0,E,5,2,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.70750249208735800,2283.00099683494300
E3,248.0,E,5,3,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.00700127935667450,2002.80051174266990
E4,280.0,E,5,4,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.66629653839731900,2266.51861535892750
E5,238.0,E,5,5,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.80097151090647300,1920.38860436258940
E6,250.0,E,5,6,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.04820723304671500,2019.28289321868600
E7,233.0,E,5,7,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.69795662668137200,1879.18265067254880
E8,231.0,E,5,8,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.65675067299133300,1862.70026919653300
E9,250.0,E,5,9,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.04820723304671500,2019.28289321868600
E10,253.0,E,5,10,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.11001616358177500,2044.00646543270980
E11,254.0,E,5,11,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.13061914042679500,2052.24765617071800
E12,252.0,E,5,12,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.08941318673675450,2035.76527469470170
E13,229.0,E,5,13,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.61554471930129200,1846.21788772051700
E14,238.0,E,5,14,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.80097151090647300,1920.38860436258940
E15,199.0,E,5,15,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,3.99745541395068840,1598.98216558027530
E16,232.0,E,5,16,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.67735364983635200,1870.94145993454070
E17,8.0,E,5,17,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.06228683655184425,
E18,98.0,E,5,18,executional error,384_control,12-L,MMA_7,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,control,1.91655475260365550,766.62190104146230
E19,101.0,E,5,19,executional error,384_control,12-L,MMA_7,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,control,1.97836368313871570,791.34547325548620
E20,9.0,E,5,20,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.08288981339686438,
E21,264.0,E,5,21,,spike-in,spike-in,spike-in,,100.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,spike-in,,5.33664890887699600,533.66489088769960
E22,7.0,E,5,22,,,,,,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,,,0.04168385970682412,
E23,195.0,E,5,23,,Standard - 3,,,4.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 3,,3.91504350657060750,
E24,196.0,E,5,24,,Standard - 3,,,4.0,,E191,1,TIKTAALIK,,384 well plate Grainer,m9134733,,2026-02-03,50,,P1,Standard - 3,,3.93564648341562770,
F1,259.0,F,6,1,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.23363402465189600,2093.45360986075800
F2,320.0,F,6,2,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,6.49041561219812400,2596.16624487924950
F3,258.0,F,6,3,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.21303104780687600,2085.21241912275040
F4,294.0,F,6,4,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.95473821422760000,2381.89528569104000
F5,244.0,F,6,5,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,4.92458937197659400,1969.83574879063740
F6,309.0,F,6,6,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,6.26378286690290200,2505.51314676116100
F7,257.0,F,6,7,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.19242807096185550,2076.97122838474200
F8,305.0,F,6,8,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,6.18137095952282150,2472.54838380912860
F9,268.0,F,6,9,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.41906081625707700,2167.62432650283060
F10,310.0,F,6,10,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,6.28438584374792250,2513.75433749916900
F11,260.0,F,6,11,,384_Economy,17-L,MMD_18,,400.0,E191,1,TIKTAALIK,10.0,384 well plate Grainer,m9134733,plasmid,2026-02-03,50,,P1,384,Economy,5.25423700149691600,2101.69480059876650
