row_letter,row_number,column_number,label,lysate,master_mix,exp_id,plate_id,plate_reader,reaction_volume,plate_type,plasmid_mid,template,standard_curve_lot,gain,test_condition,operator,vessel,product,well,measurement,key,concentration,dilution,calculated_concentration,final_concentration_with_dilution
A,1,15,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,A15,369,Greiner_control,0,400,3.7678,1507.1048
A,1,16,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,A16,357,Greiner_Ready96,0,400,3.6605,1464.2169
A,1,17,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,A17,382,Greiner_Ready96,0,400,3.8839,1553.5668
A,1,18,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,A18,749,Tube_Premium,0,400,7.1631,2865.223
A,1,19,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,A19,708,Tube_Economy,0,400,6.7967,2718.6892
A,1,20,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,A20,23,,0,1,0.6763,0.6763
A,1,21,spike-in,spike-in,spike-in,E240,1,TUBER-11-DDW,20,384 well plate Grainer,,spike-in,03/10/2026,50,,P6,spike-in,,A21,2899,spike-in,0,20,26.3733,527.4656
A,1,22,spike-in,spike-in,spike-in,E240,1,TUBER-11-DDW,20,384 well plate Grainer,,spike-in,03/10/2026,50,,P6,spike-in,,A22,300,spike-in,0,200,3.1512,630.2496
A,1,23,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,A23,23,,0,1,0.6763,0.6763
A,1,24,Standard - 1,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,Standard - 1,,A24,86,Standard - 1,1,1,1.2392,1.2392
B,2,1,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B1,22,,0,1,0.6673,0.6673
B,2,2,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B2,23,,0,1,0.6763,0.6763
B,2,3,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B3,23,,0,1,0.6763,0.6763
B,2,4,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B4,23,,0,1,0.6763,0.6763
B,2,5,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B5,22,,0,1,0.6673,0.6673
B,2,6,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B6,22,,0,1,0.6673,0.6673
B,2,7,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B7,22,,0,1,0.6673,0.6673
B,2,8,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B8,23,,0,1,0.6763,0.6763
B,2,9,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B9,22,,0,1,0.6673,0.6673
B,2,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B10,22,,0,1,0.6673,0.6673
B,2,11,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B11,22,,0,1,0.6673,0.6673
B,2,12,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B12,24,,0,1,0.6852,0.6852
B,2,13,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B13,22,,0,1,0.6673,0.6673
B,2,14,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B14,23,,0,1,0.6763,0.6763
B,2,15,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B15,22,,0,1,0.6673,0.6673
B,2,16,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B16,23,,0,1,0.6763,0.6763
B,2,17,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B17,23,,0,1,0.6763,0.6763
B,2,18,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B18,22,,0,1,0.6673,0.6673
B,2,19,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B19,22,,0,1,0.6673,0.6673
B,2,20,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B20,23,,0,1,0.6763,0.6763
B,2,21,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B21,23,,0,1,0.6763,0.6763
B,2,22,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B22,23,,0,1,0.6763,0.6763
B,2,23,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,B23,23,,0,1,0.6763,0.6763
B,2,24,Standard - 1,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,Standard - 1,,B24,88,Standard - 1,1,1,1.257,1.257
C,3,1,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,C1,1097,Greiner_Premium,0,200,10.2724,2054.4866
C,3,2,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,C2,1032,Greiner_Premium,0,200,9.6917,1938.3318
C,3,3,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,C3,1094,Greiner_Economy,0,200,10.2456,2049.1257
C,3,4,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,C4,749,Greiner_Economy,0,200,7.1631,1432.6115
C,3,5,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,C5,744,Greiner_control,0,200,7.1184,1423.6765
C,3,6,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,C6,765,Greiner_Ready96,0,200,7.306,1461.2035
C,3,7,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,C7,645,Greiner_Ready96,0,200,6.2338,1246.7638
C,3,8,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,C8,1508,Tube_Premium,0,200,13.9447,2788.9426
C,3,9,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,C9,1447,Tube_Economy,0,200,13.3997,2679.9358
C,3,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,C10,22,,0,1,0.6673,0.6673
C,3,11,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,C11,500,Greiner_Premium,0,400,4.9382,1975.2982
C,3,12,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,C12,508,Greiner_Premium,0,400,5.0097,2003.8902
C,3,13,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,C13,535,Greiner_Economy,0,400,5.251,2100.388
C,3,14,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,C14,375,Greiner_Economy,0,400,3.8214,1528.5488
C,3,15,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,C15,343,Greiner_control,0,400,3.5355,1414.181
C,3,16,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,C16,377,Greiner_Ready96,0,400,3.8392,1535.6968
C,3,17,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,C17,352,Greiner_Ready96,0,400,3.6159,1446.3469
C,3,18,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,C18,736,Tube_Premium,0,400,7.0469,2818.7611
C,3,19,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,C19,657,Tube_Economy,0,400,6.341,2536.4154
C,3,20,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,C20,23,,0,1,0.6763,0.6763
C,3,21,spike-in,spike-in,spike-in,E240,1,TUBER-11-DDW,20,384 well plate Grainer,,spike-in,03/10/2026,50,,P6,spike-in,,C21,2885,spike-in,0,20,26.2482,524.9638
C,3,22,spike-in,spike-in,spike-in,E240,1,TUBER-11-DDW,20,384 well plate Grainer,,spike-in,03/10/2026,50,,P6,spike-in,,C22,305,spike-in,0,200,3.1959,639.1846
C,3,23,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,C23,23,,0,1,0.6763,0.6763
C,3,24,Standard - 2,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,Standard - 2,,C24,181,Standard - 2,2,1,2.088,2.088
D,4,1,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D1,23,,0,1,0.6763,0.6763
D,4,2,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D2,22,,0,1,0.6673,0.6673
D,4,3,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D3,22,,0,1,0.6673,0.6673
D,4,4,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D4,22,,0,1,0.6673,0.6673
D,4,5,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D5,22,,0,1,0.6673,0.6673
D,4,6,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D6,23,,0,1,0.6763,0.6763
D,4,7,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D7,20,,0,1,0.6495,0.6495
D,4,8,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D8,23,,0,1,0.6763,0.6763
D,4,9,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D9,22,,0,1,0.6673,0.6673
D,4,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D10,22,,0,1,0.6673,0.6673
D,4,11,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D11,20,,0,1,0.6495,0.6495
D,4,12,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D12,21,,0,1,0.6584,0.6584
D,4,13,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D13,23,,0,1,0.6763,0.6763
D,4,14,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D14,21,,0,1,0.6584,0.6584
D,4,15,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D15,22,,0,1,0.6673,0.6673
D,4,16,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D16,22,,0,1,0.6673,0.6673
D,4,17,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D17,22,,0,1,0.6673,0.6673
D,4,18,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D18,22,,0,1,0.6673,0.6673
D,4,19,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D19,21,,0,1,0.6584,0.6584
D,4,20,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D20,23,,0,1,0.6763,0.6763
D,4,21,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D21,24,,0,1,0.6852,0.6852
D,4,22,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D22,22,,0,1,0.6673,0.6673
D,4,23,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,D23,22,,0,1,0.6673,0.6673
D,4,24,Standard - 2,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,Standard - 2,,D24,177,Standard - 2,2,1,2.0522,2.0522
E,5,1,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,E1,1116,Greiner_Premium,0,200,10.4422,2088.4396
E,5,2,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,E2,1044,Greiner_Premium,0,200,9.7989,1959.7758
E,5,3,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,E3,1092,Greiner_Economy,0,200,10.2278,2045.5517
E,5,4,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,E4,752,Greiner_Economy,0,200,7.1899,1437.9725
E,5,5,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,E5,759,Greiner_control,0,200,7.2524,1450.4815
E,5,6,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,E6,797,Greiner_Ready96,0,200,7.5919,1518.3874
E,5,7,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,E7,716,Greiner_Ready96,0,200,6.8682,1373.6406
E,5,8,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,E8,1467,Tube_Premium,0,200,13.5784,2715.6757
E,5,9,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,E9,1568,Tube_Economy,0,200,14.4808,2896.1625
E,5,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,E10,21,,0,1,0.6584,0.6584
E,5,11,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,E11,489,Greiner_Premium,0,400,4.84,1935.9843
E,5,12,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,E12,501,Greiner_Premium,0,400,4.9472,1978.8722
E,5,13,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,E13,525,Greiner_Economy,0,400,5.1616,2064.6481
E,5,14,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,E14,357,Greiner_Economy,0,400,3.6605,1464.2169
E,5,15,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,E15,339,Greiner_control,0,400,3.4997,1399.885
E,5,16,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,E16,365,Greiner_Ready96,0,400,3.732,1492.8089
E,5,17,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,E17,387,Greiner_Ready96,0,400,3.9286,1571.4368
E,5,18,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,E18,688,Tube_Premium,0,400,6.618,2647.2093
E,5,19,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,E19,679,Tube_Economy,0,400,6.5376,2615.0433
E,5,20,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,E20,22,,0,1,0.6673,0.6673
E,5,21,spike-in,spike-in,spike-in,E240,1,TUBER-11-DDW,20,384 well plate Grainer,,spike-in,03/10/2026,50,,P6,spike-in,,E21,2944,spike-in,0,20,26.7754,535.5071
E,5,22,spike-in,spike-in,spike-in,E240,1,TUBER-11-DDW,20,384 well plate Grainer,,spike-in,03/10/2026,50,,P6,spike-in,,E22,299,spike-in,0,200,3.1423,628.4626
E,5,23,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,E23,23,,0,1,0.6763,0.6763
E,5,24,Standard - 3,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,Standard - 3,,E24,391,Standard - 3,4,1,3.9643,3.9643
F,6,1,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F1,23,,0,1,0.6763,0.6763
F,6,2,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F2,22,,0,1,0.6673,0.6673
F,6,3,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F3,23,,0,1,0.6763,0.6763
F,6,4,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F4,22,,0,1,0.6673,0.6673
F,6,5,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F5,22,,0,1,0.6673,0.6673
F,6,6,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F6,23,,0,1,0.6763,0.6763
F,6,7,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F7,23,,0,1,0.6763,0.6763
F,6,8,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F8,23,,0,1,0.6763,0.6763
F,6,9,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F9,23,,0,1,0.6763,0.6763
F,6,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F10,22,,0,1,0.6673,0.6673
F,6,11,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F11,22,,0,1,0.6673,0.6673
F,6,12,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F12,22,,0,1,0.6673,0.6673
F,6,13,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F13,21,,0,1,0.6584,0.6584
F,6,14,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F14,21,,0,1,0.6584,0.6584
F,6,15,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F15,20,,0,1,0.6495,0.6495
F,6,16,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F16,22,,0,1,0.6673,0.6673
F,6,17,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F17,22,,0,1,0.6673,0.6673
F,6,18,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F18,22,,0,1,0.6673,0.6673
F,6,19,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F19,21,,0,1,0.6584,0.6584
F,6,20,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F20,22,,0,1,0.6673,0.6673
F,6,21,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F21,22,,0,1,0.6673,0.6673
F,6,22,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F22,23,,0,1,0.6763,0.6763
F,6,23,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,F23,22,,0,1,0.6673,0.6673
F,6,24,Standard - 3,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,Standard - 3,,F24,347,Standard - 3,4,1,3.5712,3.5712
G,7,1,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,G1,1132,Greiner_Premium,0,200,10.5852,2117.0316
G,7,2,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,G2,1053,Greiner_Premium,0,200,9.8793,1975.8588
G,7,3,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Economy,G3,1131,Greiner_Economy,0,200,10.5762,2115.2446
G,7,4,,22-L,MMD_28,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Economy,G4,765,Greiner_Economy,0,200,7.306,1461.2035
G,7,5,,12-L,MMA_7,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,control,G5,725,Greiner_control,0,200,6.9486,1389.7236
G,7,6,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Ready96,G6,828,Greiner_Ready96,0,200,7.8689,1573.7843
G,7,7,,22-L,MMC_27,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Ready96,G7,720,Greiner_Ready96,0,200,6.9039,1380.7886
G,7,8,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Premium,G8,1477,Tube_Premium,0,200,13.6677,2733.5457
G,7,9,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Tube,Economy,G9,1592,Tube_Economy,0,200,14.6953,2939.0504
G,7,10,,,,E240,1,TUBER-11-DDW,,384 well plate Grainer,,,03/10/2026,50,,P6,,,G10,23,,0,1,0.6763,0.6763
G,7,11,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9134733,plasmid,03/10/2026,50,,P6,Greiner,Premium,G11,512,Greiner_Premium,0,400,5.0455,2018.1861
G,7,12,,22-L,MMC_25,E240,1,TUBER-11-DDW,20,384 well plate Grainer,m9229555,linear,03/10/2026,50,,P6,Greiner,Premium,G12,531,Greiner_Premium,0,400,5.2152,2086.0921
